Date_Start,Start Time (Sask),Start Time (EDT),Away,Away Score,Home,Home Score,Status,Away Starter,Home Starter,Winner,Loser,Save,O/U,Over,Under,Away ML,Home ML,Home RL Spread,RL Away,RL Home
2025-03-27 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Paul Skenes,Sandy Alcantara,Jesus Tinoco,David Bednar,No Save,7.5,-120,100,-105,-115,-1.5,-210,+175
2025-03-27 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Paul Skenes,Sandy Alcantara,Jesus Tinoco,David Bednar,No Save,7.5,-115,-105,-110,-110,-1.5,-230,+190
2025-03-27 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Paul Skenes,Sandy Alcantara,Jesus Tinoco,David Bednar,No Save,7.0,105,-125,-125,+105,+1.5,+150,-180
2025-03-27 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Paul Skenes,Sandy Alcantara,Jesus Tinoco,David Bednar,No Save,7.5,-115,-105,-160,+135,+1.5,+100,-120
2025-03-27 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Paul Skenes,Sandy Alcantara,Jesus Tinoco,David Bednar,No Save,6.5,-115,-105,-150,+125,+1.5,+125,-150
2025-03-27 16:15:00,2:15 PM,4:15 PM,Minnesota Twins,3,St. Louis Cardinals,5,Final,Pablo López,Sonny Gray,Sonny Gray,Pablo López,Ryan Helsley,7.5,-105,-115,-115,-105,+1.5,+150,-180
2025-03-27 19:10:00,5:10 PM,7:10 PM,Detroit Tigers,4,Los Angeles Dodgers,5,Final,Tarik Skubal,Blake Snell,Blake Snell,Tarik Skubal,Blake Treinen,6.5,-120,100,+140,-165,-1.5,-155,+130
2025-03-27 22:10:00,8:10 PM,10:10 PM,Chicago Cubs,10,Arizona Diamondbacks,6,Final,Justin Steele,Zac Gallen,Justin Steele,Zac Gallen,No Save,8.5,-105,-115,+105,-125,-1.5,-180,+150
2025-03-27 22:10:00,8:10 PM,10:10 PM,Chicago Cubs,10,Arizona Diamondbacks,6,Final,Justin Steele,Zac Gallen,Justin Steele,Zac Gallen,No Save,7.0,-105,-115,+145,-170,-1.5,-155,+130
2025-03-27 22:10:00,8:10 PM,10:10 PM,Athletics,2,Seattle Mariners,4,Final,Luis Severino,Logan Gilbert,Trent Thornton,José Leclerc,Andrés Muñoz,8.5,-105,-115,+105,-125,-1.5,-180,+150
2025-03-27 22:10:00,8:10 PM,10:10 PM,Athletics,2,Seattle Mariners,4,Final,Luis Severino,Logan Gilbert,Trent Thornton,José Leclerc,Andrés Muñoz,7.0,-105,-115,+145,-170,-1.5,-155,+130
2025-03-28 16:10:00,2:10 PM,4:10 PM,Colorado Rockies,2,Tampa Bay Rays,3,Final,Kyle Freeland,Ryan Pepiot,Pete Fairbanks,Victor Vodnik,No Save,8.0,-105,-115,+180,-220,-1.5,-115,-105
2025-03-28 19:07:00,5:07 PM,7:07 PM,Baltimore Orioles,2,Toronto Blue Jays,8,Final,Charlie Morton,Kevin Gausman,Kevin Gausman,Charlie Morton,No Save,8.5,-115,-105,+105,-125,-1.5,-190,+160
2025-03-28 19:10:00,5:10 PM,7:10 PM,Pittsburgh Pirates,4,Miami Marlins,3,Final,Mitch Keller,Connor Gillispie,Mitch Keller,Connor Gillispie,David Bednar,8.0,-120,100,-135,+115,+1.5,+125,-150
2025-03-28 20:05:00,6:05 PM,8:05 PM,Boston Red Sox,1,Texas Rangers,4,Final,Tanner Houck,Jack Leiter,Jack Leiter,Tanner Houck,Luke Jackson,9.0,-105,-115,-115,-105,+1.5,+145,-170
2025-03-28 20:10:00,6:10 PM,8:10 PM,New York Mets,3,Houston Astros,1,Final,Tylor Megill,Hunter Brown,Tylor Megill,Hunter Brown,Edwin Díaz,8.0,-120,100,-105,-115,-1.5,-200,+165
2025-03-28 21:40:00,7:40 PM,9:40 PM,Chicago Cubs,1,Arizona Diamondbacks,8,Final,Jameson Taillon,Merrill Kelly,Merrill Kelly,Jameson Taillon,No Save,9.0,-110,-110,+125,-150,-1.5,-165,+140
2025-03-28 21:40:00,7:40 PM,9:40 PM,Chicago Cubs,1,Arizona Diamondbacks,8,Final,Jameson Taillon,Merrill Kelly,Merrill Kelly,Jameson Taillon,No Save,7.0,-110,-110,+120,-140,-1.5,-180,+150
2025-03-28 21:40:00,7:40 PM,9:40 PM,Chicago Cubs,1,Arizona Diamondbacks,8,Final,Jameson Taillon,Merrill Kelly,Merrill Kelly,Jameson Taillon,No Save,7.0,-120,100,+115,-135,-1.5,-190,+160
2025-03-28 21:40:00,7:40 PM,9:40 PM,Athletics,7,Seattle Mariners,0,Final,Jeffrey Springs,Luis Castillo,Jeffrey Springs,Luis Castillo,No Save,9.0,-110,-110,+125,-150,-1.5,-165,+140
2025-03-28 21:40:00,7:40 PM,9:40 PM,Athletics,7,Seattle Mariners,0,Final,Jeffrey Springs,Luis Castillo,Jeffrey Springs,Luis Castillo,No Save,7.0,-110,-110,+120,-140,-1.5,-180,+150
2025-03-28 21:40:00,7:40 PM,9:40 PM,Athletics,7,Seattle Mariners,0,Final,Jeffrey Springs,Luis Castillo,Jeffrey Springs,Luis Castillo,No Save,7.0,-120,100,+115,-135,-1.5,-190,+160
2025-03-28 21:40:00,7:40 PM,9:40 PM,Atlanta Braves,3,San Diego Padres,4,Final,Reynaldo López,Dylan Cease,Jason Adam,Dylan Lee,Robert Suarez,9.0,-110,-110,+125,-150,-1.5,-165,+140
2025-03-28 21:40:00,7:40 PM,9:40 PM,Atlanta Braves,3,San Diego Padres,4,Final,Reynaldo López,Dylan Cease,Jason Adam,Dylan Lee,Robert Suarez,7.0,-110,-110,+120,-140,-1.5,-180,+150
2025-03-28 21:40:00,7:40 PM,9:40 PM,Atlanta Braves,3,San Diego Padres,4,Final,Reynaldo López,Dylan Cease,Jason Adam,Dylan Lee,Robert Suarez,7.0,-120,100,+115,-135,-1.5,-190,+160
2025-03-28 22:10:00,8:10 PM,10:10 PM,Detroit Tigers,5,Los Angeles Dodgers,8,Final,Jack Flaherty,Yoshinobu Yamamoto,Luis García,Beau Brieske,No Save,7.0,-125,105,+180,-220,-1.5,-115,-105
2025-03-29 13:05:00,11:05 AM,1:05 PM,Milwaukee Brewers,9,New York Yankees,20,Final,Nestor Cortes,Max Fried,Yoendrys Gómez,Nestor Cortes,No Save,9.0,-110,-110,+140,-165,-1.5,-150,+125
2025-03-29 14:10:00,12:10 PM,2:10 PM,Los Angeles Angels,1,Chicago White Sox,0,Final,José Soriano,Jonathan Cannon,José Soriano,Mike Clevinger,Kenley Jansen,8.0,-115,-105,-165,+140,+1.5,+100,-120
2025-03-29 14:15:00,12:15 PM,2:15 PM,Minnesota Twins,1,St. Louis Cardinals,5,Final,Joe Ryan,Erick Fedde,Erick Fedde,Jorge Alcala,No Save,7.5,-115,-105,-110,-110,+1.5,+150,-180
2025-03-29 15:07:00,1:07 PM,3:07 PM,Baltimore Orioles,9,Toronto Blue Jays,5,Final,Dean Kremer,Max Scherzer,Dean Kremer,Richard Lovelady,No Save,8.5,-115,-105,+100,-120,-1.5,-200,+165
2025-03-29 16:05:00,2:05 PM,4:05 PM,Philadelphia Phillies,11,Washington Nationals,6,Final,Jesús Luzardo,Jake Irvin,Jesús Luzardo,Colin Poche,No Save,9.0,-105,-115,-155,+130,+1.5,+110,-130
2025-03-29 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,3,Kansas City Royals,4,Final,Gavin Williams,Seth Lugo,Daniel Lynch IV,Paul Sewald,Carlos Estévez,8.5,-125,105,-105,-115,-1.5,-210,+175
2025-03-29 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,3,Kansas City Royals,4,Final,Gavin Williams,Seth Lugo,Daniel Lynch IV,Paul Sewald,Carlos Estévez,8.5,-115,-105,+100,-120,-1.5,-200,+165
